SPNAME,COLLID,ELAPS_TIME,CPU_TIME,SUSPEND,LOCK_LATCH,SYNCIO,SQL_STMT_AVG,CP_CPU_SU,SQL_STMT_TOTAL,OCCUR,SP_OK
AGBARQM1,67,2.747459,2.50454,0.118508,0.004004,0.074073,3,68382.78,27,9,0
AGUNTVC1,67,1.767674,1.371725,0.264531,0.000057,0.153577,3,37452.75,12,4,0
AGUNCRP2,67,1.381267,1.341593,0.02004,0.000084,0.012962,3,36630,78,26,0
AGSARQM1,67,1.016964,0.751433,0.190694,0.001636,0.13457,4,20516,4,1,0
AGINCVC1,67,1.345259,0.405143,0.964527,0.000088,0.883992,5,11061.5,100,20,0
AGBRANC1,67,0.27498,0.20986,0.056411,0.002134,0.027257,8,5729,8,1,0
AGUSAMN1,109,0.233929,0.073658,0.159873,0.001195,0.131999,19.44,2010.61,8458,435,0
AGACTDP2,42,0.060586,0.060082,0.00008,0,0,3.33,1640,10,3,0
AGPYMXD1,67,0.037303,0.021433,0.015907,0.000001,0.00121,1,585,1,1,1
AGBLACC1,67,0.076561,0.015644,0.061805,0.000119,0.022025,5,427,5,1,1
AGLIMAC1,32,0.012592,0.009821,0.002626,0.00012,0.000897,9.38,267.7,666,71,1
AGPROFT1,17,0.018098,0.004073,0.013993,0.00074,0.012239,50.69,110.71,1774,35,1
AGTRZTR1,67,0.058974,0.003729,0.05535,0,0.033151,3,101,3,1,1
AGFNDMT1,67,0.028125,0.003614,0.02474,0,0.007326,4,98,12,3,1
AGAPPRV1,109,0.004684,0.003468,0.001161,0.000202,0.000681,15.93,94.15,430,27,1
AGMBIDR1,67,0.021547,0.003314,0.018063,0.003054,0.014389,60.4,90.2,302,5,1
AGAATPV1,48,0.005394,0.00324,0.002075,0.000712,0.000484,17.47,87.95,2656,152,1
AGCLACC1,17,0.011702,0.002979,0.008721,0.000755,0.005524,20.48,80.78,553,27,1
AGRRDBT2,37,0.081985,0.002938,0.079287,0.000135,0.077518,12.85,79.68,437,34,1
AGSRCTN1,48,0.008799,0.002713,0.006109,0.000537,0.00482,38.12,73.61,5222,137,1
AGUNLCK2,40,0.004424,0.002656,0.001781,0.000414,0.001178,23.14,72,162,7,1
AGCUSAC5,37,0.010162,0.002372,0.007811,0.000525,0.003728,21.25,64.5,85,4,1
AGSTTNO1,67,0.007145,0.002317,0.004898,0.000161,0.002358,7,62.74,245,35,1
AGLCKSP8,40,0.013076,0.002227,0.010879,0.000198,0.010572,18.5,60,74,4,1
AGCUSAC1,37,0.025051,0.002155,0.022946,0.000137,0.016583,19.25,58.33,231,12,1
AGPRCSH1,34,0.012813,0.002155,0.00954,0.00008,0.005065,6,58.2,30,5,1
AGLSTMN1,67,0.004395,0.002152,0.002223,0.000196,0.000397,7,58.15,189,27,1
AGPAYER1,33,0.002538,0.00213,0.00037,0.000347,0,126.52,57.66,2794919,22090,1
AG3TRNS1,5,0.046679,0.002109,0.044633,0.000093,0.044448,32,57,64,2,1
AGCACBL4,40,0.008347,0.002088,0.006261,0.000301,0.005942,11.97,56.59,407,34,1
AGRACBL6,40,0.004381,0.002071,0.002292,0.000305,0.001917,11.44,56.06,3283,287,1
AGLASIG7,48,0.008702,0.002046,0.006645,0.000358,0.005634,17.18,55.38,2285,133,1
AGACCSP2,40,0.004257,0.002004,0.002254,0.000359,0.001557,28.64,54.22,63004,2200,1
AGLSTMH1,67,0.023619,0.002012,0.021608,0.000002,0.006728,7,54,7,1,1
AGCUSAC2,37,0.011047,0.001963,0.0091,0.000271,0.008737,18.33,53.09,9589,523,1
AGCBLAC2,40,0.004061,0.001952,0.002115,0.000559,0.001556,26.56,52.78,239,9,1
AGCNPRM1,36,0.002882,0.001948,0.000961,0.000195,0.000766,21,52.67,63,3,1
AGCBLAC3,40,0.00551,0.001889,0.003628,0.000312,0.003079,27.17,51.08,1630,60,1
AGDIFQR1,36,0.014145,0.001857,0.012285,0.000128,0.011438,19.8,50.2,99,5,1
