   ,ID,SPNAME,COLLID,OCCUR,CP_CPU_SU,CPU_TIME,ELAPS_TIME,LOCK_LATCH,SQL_STMT_AVG,SQL_STMT_TOTAL,SUSPEND,SYNCIO,TOTAL_SUSPENSIONS_AVG,LOCK_REQUEST_AVG,GETPAGES_AVG,SYNCH_READ_AVG,SELECT_AVG,INSERT_AVG,UPDATE_AVG,DELETE_AVG,   
1,145237,sp1,CORPK024,1,623700,22.843015,27.699435,0.005837,2948,2948,1.020648,0.093256,1,646,2147673,13,1842,731,0,0,   
2,145086,sp2,CORPK021,8,164813.63,6.036317,41.229248,0.010943,41.13,329,35.221686,1.755434,0,38,1042492,1198,25,3,0,0,   
3,144906,sp3,CORPK020,51,48657.88,1.782113,1.804093,0.000568,28.33,1445,0.003786,0.000376,0,39,407603,0,9,3,0,0,   
4,145063,sp4,CORPK021,7739,48547.32,1.778064,3.319031,0.050619,7,54187,1.343613,0.00538,0,8,163212,7,3,1,1,1,   
5,144384,sp5,CORPK008,2,18335,0.671542,5.560945,0.028256,6557,13114,4.883919,1.904859,182,6584,49507,568,3286,338,695,0,   
6,146321,sp6,CORPK041,13,17883.54,0.655007,3.382614,0.008314,1901.46,24719,2.68874,2.258148,41,1434,11058,753,1035,59,117,0,   
7,148235,sp7,CORPK140,10,13298.4,0.487072,1.11962,0.005625,23.2,232,0.579333,0.3125,45,22452,71539,422,5,1,1,3,   
8,146598,sp8,CORPK047,3,7037,0.257758,0.368387,0.000522,10,30,0.100354,0,0,20,15486,0,5,2,0,0,   
9,146599,sp9,CORPK047,370,6915.68,0.253305,0.398563,0.001259,9.83,3636,0.108595,0.003354,0,19,14367,0,4,1,0,0,   
10,144050,sp10,CORPK004,43,6902.02,0.252802,0.4485,0.001165,39.16,1684,0.193553,0.025293,0,31,51949,30,29,2,3,0,   
11,147830,sp11,CORPK132,3,5019,0.183836,1.076971,0.001821,32,96,0.882907,0.018359,1,16,25736,27,16,1,0,0,   
12,144909,sp12,CORPK020,14,4953.07,0.181424,0.956782,0.014696,113.21,1585,0.761426,0.354224,1,116,10289,229,78,5,2,0,   
13,145084,sp13,CORPK021,7,4890.29,0.17913,0.485041,0.001311,42.43,297,0.29207,0.004058,0,40,45701,6,32,3,0,0,   
14,144910,sp14,CORPK020,1,4587,0.168034,0.772458,0.004728,161,161,0.605884,0.193584,3,196,8306,85,109,10,4,0,   
15,144911,sp15,CORPK020,17,4306.35,0.157737,0.750936,0.006986,113.12,1923,0.574784,0.111569,2,117,7420,61,83,2,3,0,   
16,143980,sp16,CORPK003,29,4019.55,0.147234,0.700877,0.001888,12.76,370,0.553456,0.492504,0,26,9972,535,5,0,0,0,   
17,143986,sp17,CORPK003,2,2935.5,0.107522,0.632363,0.003523,31,62,0.524391,0.104877,1,21,11731,46,12,1,0,0,   
18,144800,sp18,CORPK019,24,2698.46,0.098852,0.112539,0.000313,10,240,0.006351,0.00001,0,11,10927,0,5,1,1,0,   
19,148242,sp19,CORPK140,38,2603.11,0.095361,0.195739,0.000329,12.89,490,0.096166,0.009768,0,7,8642,10,6,1,0,0,   
20,145191,sp20,CORPK023,8,2511.5,0.092005,0.171515,0.004058,29,232,0.063164,0.003086,0,22,16021,0,11,2,1,0,   
21,144468,sp21,CORPK009,1618,2431.88,0.089086,0.498152,0.000573,26.13,42277,0.408116,0.000383,0,10,7713,0,12,0,0,0,   
22,148238,sp22,CORPK140,1,2431,0.089047,0.336838,0.001655,25,25,0.245489,0.103915,1,23,1508,76,16,1,0,0,   
23,146388,sp23,CORPK042,46,1783.8,0.065347,0.087305,0.001934,91.11,4191,0.01703,0.007536,1,43,3536,2,30,0,0,0,   
24,144198,sp24,CORPK006,98,1732.15,0.063458,0.310626,0.001067,8.57,840,0.245834,0.007261,0,13,9711,3,3,0,0,0,   
25,148097,sp25,CORPK136,28,1725.68,0.06322,0.11278,0.023736,36.89,1033,0.035132,0.004994,1,35,10555,6,19,0,0,0,   
26,145282,sp26,CORPK024,5,1718.2,0.062945,0.120419,0.001126,26.6,133,0.055488,0.041541,0,51,11331,9,19,3,0,0,   
27,147273,sp27,CORPK111,78,1699.23,0.062254,0.074366,0.001103,69.99,5459,0.004726,0.00149,0,38,7888,0,8,1,3,1,   
28,147272,sp28,CORPK111,235,1543.46,0.056547,0.0736,0.002477,69.89,16425,0.009431,0.004987,0,35,7053,1,8,1,3,1,   
29,144773,sp29,CORPK018,28,1502.14,0.055032,0.274391,0.002217,41.43,1160,0.218904,0.192087,0,18,5835,273,29,3,0,0,   
30,143875,sp30,CORPK002,2,1472,0.053924,0.065852,0.002484,19,38,0.005263,0.000258,0,19,6936,0,10,2,2,0,   
31,145872,sp31,CORPK035,160,1451.49,0.05318,0.109334,0.012183,91.44,14631,0.048987,0.025951,1,67,2524,4,39,3,3,0,   
32,144193,sp32,CORPK006,59,1147.9,0.042059,0.078183,0.002598,34.39,2029,0.033081,0.028008,0,31,2518,7,13,3,3,0,   
33,143973,sp33,CORPK003,31,1142.81,0.041874,0.081875,0.002331,36.16,1121,0.03767,0.031406,1,40,5130,11,16,3,2,0,   
34,148096,sp34,CORPK136,6,937.5,0.034353,0.05761,0.005527,45,270,0.019827,0.006384,1,54,5507,2,30,0,0,0,   
